seconds,accX,accY,accZ
580.0,-0.48,0.53,0.14
581.0,-0.16,0.39,0.11
582.0,-0.44,0.54,0.24
583.0,-0.59,0.79,0.2
584.0,-0.69,0.76,0.08
586.0,-0.38,0.54,0.19
587.0,-0.67,1.07,0.28
588.0,-0.43,0.81,0.06
589.0,-1.27,0.82,0.19
590.0,-1.07,0.78,0.26
591.0,-0.24,0.27,0.16
592.0,-1.22,1.09,0.14
593.0,-1.0,0.85,0.24
594.0,-0.01,0.15,0.14
595.0,-0.98,0.88,0.11
597.0,-1.16,0.83,0.06
598.0,-0.2,0.44,0.3
599.0,-0.94,0.74,0.18
600.0,-1.11,0.72,0.37
601.0,-0.08,0.23,0.17
602.0,-0.99,0.74,0.27
603.0,-0.98,0.66,0.26
604.0,-0.6,0.38,0.12
605.0,-0.51,0.71,0.08
607.0,-0.93,0.72,0.11
608.0,-0.78,0.31,0.16
609.0,-0.78,0.82,0.23
610.0,-0.1,0.47,0.27
611.0,-0.63,0.75,0.06
612.0,-1.15,0.63,0.2
613.0,-1.07,0.5,0.36
614.0,-0.93,0.62,0.28
616.0,-0.32,0.33,0.13
618.0,-0.3,0.49,0.12
619.0,-1.06,0.79,0.15
620.0,-1.05,0.57,0.31
621.0,-0.98,0.83,0.12
622.0,-1.02,0.88,0.22
623.0,-0.22,0.42,0.13
624.0,-0.43,0.58,0.11
625.0,-1.05,0.82,0.09
626.0,-0.96,0.5,0.27
628.0,-0.95,0.54,0.25
629.0,-0.48,0.55,0.09
630.0,-0.61,0.7,0.09
631.0,-0.71,0.43,0.04
632.0,-1.03,0.72,0.31
633.0,-0.18,0.3,0.11
634.0,-1.03,0.59,0.31
635.0,-0.93,0.82,0.17
636.0,-0.49,0.59,0.09
638.0,-0.88,0.68,0.28
639.0,-0.84,0.52,0.32
640.0,-0.34,0.74,0.23
641.0,-0.45,0.67,0.1
642.0,-0.86,0.8,0.23
643.0,-0.97,0.59,0.25
644.0,-0.99,0.36,0.27
645.0,-0.98,0.32,0.18
646.0,-0.43,0.63,0.26
647.0,-0.6,0.52,0.2
649.0,-0.72,0.47,0.34
650.0,-0.88,0.92,0.21
651.0,-0.91,0.79,0.17
652.0,-0.39,0.79,0.03
653.0,-0.66,0.63,0.14
654.0,-1.01,0.77,0.13
655.0,-1.06,0.72,0.1
656.0,-0.68,0.7,0.15
657.0,-0.18,0.42,0.22
659.0,-0.8,0.75,0.1
660.0,-0.93,0.73,0.16
661.0,-1.05,0.52,0.19
662.0,-0.86,0.73,0.31
663.0,-0.91,0.8,0.26
664.0,-0.71,0.6,0.22
665.0,-0.1,0.32,0.3
666.0,-0.6,0.66,0.11
667.0,-0.89,0.66,0.15
668.0,-1.17,0.9,0.13
670.0,-0.39,0.33,0.06
671.0,-0.86,0.81,0.26
672.0,-0.59,0.89,0.25
673.0,-1.01,0.79,0.16
674.0,-0.9,0.49,0.15
675.0,-0.95,0.42,0.15
676.0,-0.97,0.51,0.21
677.0,-0.83,0.45,0.3
678.0,-0.96,0.18,0.25
680.0,-0.96,0.12,0.25
681.0,-0.96,0.15,0.27
682.0,-0.97,0.12,0.28
683.0,-0.96,0.13,0.26
